date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:07	358116/358116	---M--	200	added ('OK')	font/woff2	etag:W/%22576e4-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-light-300.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-light-300.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:08	369328/369328	---M--	200	added ('OK')	font/woff	etag:W/%225a2b0-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-regular-400.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:08	397920/397920	---M--	200	added ('OK')	font/woff	etag:W/%2261260-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-light-300.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-light-300.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:08	822864/822864	---M--	200	added ('OK')	font/ttf	etag:W/%22c8e50-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-regular-400.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:13	282836/282836	---M--	200	added ('OK')	font/woff2	etag:W/%22450d4-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-solid-900.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:13	313820/313820	---M--	200	added ('OK')	font/woff	etag:W/%224c9dc-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-solid-900.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:13	920792/920792	---M--	200	added ('OK')	font/ttf	etag:W/%22e0cd8-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-light-300.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-light-300.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:13	36816/36816	---M--	200	added ('OK')	font/woff2	etag:W/%228fd0-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Black.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Black.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:13	45852/45852	---M--	200	added ('OK')	font/woff	etag:W/%22b31c-17b91eb63c0%22	https://wojak-studio.com/webfonts/LondrinaSolid-Black.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Black.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:14	93436/93436	---M--	200	added ('OK')	font/ttf	etag:W/%2216cfc-17b91eb63c0%22	https://wojak-studio.com/webfonts/LondrinaSolid-Black.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Black.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:14	36316/36316	---M--	200	added ('OK')	font/woff2	etag:W/%228ddc-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Light.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Light.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:14	44688/44688	---M--	200	added ('OK')	font/woff	etag:W/%22ae90-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Light.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Light.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:14	721544/721544	---M--	200	added ('OK')	font/ttf	etag:W/%22b0288-1799f6f2d30%22	https://wojak-studio.com/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/fa-solid-900.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:14	34708/34708	---M--	200	added ('OK')	font/woff2	etag:W/%228794-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Regular.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Regular.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:14	85516/85516	---M--	200	added ('OK')	font/ttf	etag:W/%2214e0c-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Light.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Light.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:15	44016/44016	---M--	200	added ('OK')	font/woff	etag:W/%22abf0-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Regular.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Regular.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:15	92048/92048	---M--	200	added ('OK')	font/ttf	etag:W/%2216790-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Regular.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Regular.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:15	30836/30836	---M--	200	added ('OK')	font/woff2	etag:W/%227874-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Thin.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Thin.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:15	38468/38468	---M--	200	added ('OK')	font/woff	etag:W/%229644-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Thin.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Thin.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:16	80640/80640	---M--	200	added ('OK')	font/ttf	etag:W/%2213b00-17b91eb67a8%22	https://wojak-studio.com/webfonts/LondrinaSolid-Thin.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/LondrinaSolid-Thin.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:16	15220/15220	---M--	200	added ('OK')	font/woff2	etag:W/%223b74-17b91f60e38%22	https://wojak-studio.com/webfonts/Inder-Regular.woff2	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/Inder-Regular.woff2	(from https://wojak-studio.com/css/fonts.css)
22:42:16	20420/20420	---M--	200	added ('OK')	font/woff	etag:W/%224fc4-17b91f60e38%22	https://wojak-studio.com/webfonts/Inder-Regular.woff	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/Inder-Regular.woff	(from https://wojak-studio.com/css/fonts.css)
22:42:16	34044/34044	---M--	200	added ('OK')	font/ttf	etag:W/%2284fc-17b91f60e38%22	https://wojak-studio.com/webfonts/Inder-Regular.ttf	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/webfonts/Inder-Regular.ttf	(from https://wojak-studio.com/css/fonts.css)
22:42:17	10633/10633	---M--	200	added ('OK')	image/png	etag:W/%222989-17ba2c746f0%22	https://wojak-studio.com/res/bases/white_smug_01.png	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/res/bases/white_smug_01.png	(from https://wojak-studio.com/css/css.css)
22:42:17	10857/10857	---M--	200	added ('OK')	image/png	etag:W/%222a69-17f85533850%22	https://wojak-studio.com/res/bases/white_smug_02.png	C:/My%20Web%20Sites/https___wojak-studio.com_/wojak-studio.com/res/bases/white_smug_02.png	(from https://wojak-studio.com/css/css.css)
22:42:18	14048/14048	---M--	200	added ('OK')	image/png	etag:%226197dbbe-36e0%22	https://www.coffee-france.fr/assets/img/logo.png	C:/My%20Web%20Sites/https___wojak-studio.com_/www.coffee-france.fr/assets/img/logo.png	(from https://wojak-studio.com/css/css.css)
